Model,Method,Mode,Train,Test,Closed_Rank1,Closed_EER,Closed_Mean_Genuine,Closed_Mean_Impostor,Open_Rank1,Open_KL_Gate_EER,Open_Uncertainty_EER,Open_EER,Open_Mean_Genuine,Open_Mean_Stranger,Open_AUROC,Open_DIR_1,Open_DIR_01,Open_OSCR
unet_palmnet,Baseline,model0,iitd,iitd,70.7567 ± 3.5216,9.1567 ± 0.4845,42.0000 ± 1.6330,42.0000 ± 1.6330,69.3333 ± 4.0050,15.9900 ± 1.3757,44.3967 ± 2.6932,35.5200 ± 2.0260,42.0000 ± 1.6330,42.0000 ± 1.6330,68.7400 ± 2.3831,24.1033 ± 3.6384,13.1000 ± 3.6276,59.8267 ± 4.0000
unet_palmnet,Baseline,model0,iitd,tongji,43.3333 ± 3.8448,22.0500 ± 1.8749,54.0000 ± 1.6330,54.0000 ± 1.6330,43.3333 ± 3.8448,32.3200 ± 0.9382,53.4167 ± 1.7608,55.2667 ± 2.1910,54.0000 ± 1.6330,54.0000 ± 1.6330,42.1867 ± 3.2785,5.0667 ± 1.6997,1.8000 ± 1.6083,31.7333 ± 3.2000
unet_palmnet,Baseline,model0,tongji,iitd,35.5100 ± 1.8918,28.4033 ± 0.9595,7.0000 ± 1.6330,7.0000 ± 1.6330,35.6533 ± 1.4543,27.0367 ± 1.0394,49.8300 ± 3.7739,59.7300 ± 2.1795,7.0000 ± 1.6330,7.0000 ± 1.6330,36.5867 ± 4.1463,5.4400 ± 1.9696,3.7200 ± 1.3609,21.4133 ± 0.6330
unet_palmnet,Baseline,model0,tongji,tongji,88.9333 ± 0.2494,4.3567 ± 0.4847,19.6667 ± 2.0548,19.6667 ± 2.0548,87.8667 ± 0.6600,14.4400 ± 0.8306,52.1833 ± 0.6511,16.9167 ± 0.7771,19.6667 ± 2.0548,19.6667 ± 2.0548,88.5967 ± 0.4823,57.5333 ± 1.2684,41.2000 ± 5.3091,84.3167 ± 0.5833
unet_palmnet,Baseline,model3,iitd,iitd,70.7567 ± 3.5216,9.1567 ± 0.4845,48.0000 ± 1.6330,48.0000 ± 1.6330,69.3333 ± 4.0050,15.9900 ± 1.3757,44.3967 ± 2.6932,35.5200 ± 2.0260,48.0000 ± 1.6330,48.0000 ± 1.6330,68.7400 ± 2.3831,24.1033 ± 3.6384,13.1000 ± 3.6276,59.8267 ± 4.0000
unet_palmnet,Baseline,model3,iitd,tongji,43.3333 ± 3.8448,22.0500 ± 1.8749,21.0000 ± 26.8825,21.0000 ± 26.8825,43.3333 ± 3.8448,32.3200 ± 0.9382,53.4167 ± 1.7608,55.2667 ± 2.1910,21.0000 ± 26.8825,21.0000 ± 26.8825,42.1867 ± 3.2785,5.0667 ± 1.6997,1.8000 ± 1.6083,31.7333 ± 3.2000
unet_palmnet,Baseline,model3,tongji,iitd,35.5100 ± 1.8918,28.4033 ± 0.9595,13.0000 ± 1.6330,13.0000 ± 1.6330,35.6533 ± 1.4543,27.0367 ± 1.0394,49.8300 ± 3.7739,59.7300 ± 2.1795,13.0000 ± 1.6330,13.0000 ± 1.6330,36.5867 ± 4.1463,5.4400 ± 1.9696,3.7200 ± 1.3609,21.4133 ± 0.6330
unet_palmnet,Baseline,model3,tongji,tongji,88.9333 ± 0.2494,4.3567 ± 0.4847,26.3333 ± 2.0548,26.3333 ± 2.0548,87.8667 ± 0.6600,14.4400 ± 0.8306,52.1833 ± 0.6511,16.9167 ± 0.7771,26.3333 ± 2.0548,26.3333 ± 2.0548,88.5967 ± 0.4823,57.5333 ± 1.2684,41.2000 ± 5.3091,84.3167 ± 0.5833
unet_palmnet,Baseline,model0,iitd,iitd,70.7567 ± 3.5216,9.1567 ± 0.4845,42.0000 ± 1.6330,42.0000 ± 1.6330,69.3333 ± 4.0050,15.9900 ± 1.3757,44.3967 ± 2.6932,35.5200 ± 2.0260,42.0000 ± 1.6330,42.0000 ± 1.6330,68.7400 ± 2.3831,24.1033 ± 3.6384,13.1000 ± 3.6276,59.8267 ± 4.0000
unet_palmnet,Baseline,model0,iitd,tongji,43.3333 ± 3.8448,22.0500 ± 1.8749,54.0000 ± 1.6330,54.0000 ± 1.6330,43.3333 ± 3.8448,32.3200 ± 0.9382,53.4167 ± 1.7608,55.2667 ± 2.1910,54.0000 ± 1.6330,54.0000 ± 1.6330,42.1867 ± 3.2785,5.0667 ± 1.6997,1.8000 ± 1.6083,31.7333 ± 3.2000
